id,type,src_ip,username,attempts,rule_id,status,created_at,severity
24,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 06:36:38.488415,critical
25,password_spraying,multiple,system,14,password_spraying,open,2026-08-04 06:36:55.219137,critical
26,password_spraying,multiple,system,14,password_spraying,open,2026-08-04 06:36:56.378335,critical
27,password_spraying,multiple,www-data,5,password_spraying,open,2026-08-04 06:37:22.934725,critical
28,password_spraying,multiple,www-data,6,password_spraying,open,2026-08-04 06:37:26.114518,critical
29,password_spraying,multiple,www-data,6,password_spraying,open,2026-08-04 06:37:37.244518,critical
30,password_spraying,multiple,system,15,password_spraying,open,2026-08-04 06:37:40.121554,critical
31,password_spraying,multiple,system,5,password_spraying,open,2026-08-04 22:43:28.047911,critical
32,password_spraying,multiple,system,5,password_spraying,open,2026-08-04 22:43:28.956522,critical
33,password_spraying,multiple,system,6,password_spraying,open,2026-08-04 22:43:47.749898,critical
34,password_spraying,multiple,system,6,password_spraying,open,2026-08-04 22:43:48.984364,critical
35,password_spraying,multiple,system,7,password_spraying,open,2026-08-04 22:43:52.558565,critical
36,password_spraying,multiple,system,7,password_spraying,open,2026-08-04 22:43:53.764225,critical
37,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 22:43:57.123655,critical
38,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 22:43:58.69767,critical
39,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 22:44:03.26607,critical
40,password_spraying,multiple,system,10,password_spraying,open,2026-08-04 22:44:05.799443,critical
41,password_spraying,multiple,system,11,password_spraying,open,2026-08-04 22:44:10.886393,critical
42,password_spraying,multiple,system,12,password_spraying,open,2026-08-04 22:44:14.165148,critical
43,password_spraying,multiple,system,12,password_spraying,open,2026-08-04 22:44:14.866022,critical
44,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:44:33.139312,critical
45,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:44:33.954864,critical
46,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:44:50.041169,critical
47,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:44:50.088226,critical
48,bruteforce,91.240.118.172,admin,6,ssh_bruteforce,open,2026-08-04 22:45:02.195493,critical
49,bruteforce,91.240.118.172,admin,6,ssh_bruteforce,open,2026-08-04 22:45:02.234247,critical
50,password_spraying,multiple,www-data,5,password_spraying,open,2026-08-04 22:45:14.9314,critical
51,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:45:18.021401,critical
52,bruteforce,185.156.73.233,postgres,1,ssh_bruteforce,open,2026-08-04 22:54:13.943074,critical
53,bruteforce,89.234.157.254,web_app,1,sql_injection,open,2026-08-04 22:54:56.560224,critical
54,password_spraying,multiple,system,5,password_spraying,open,2026-08-04 22:55:17.724322,critical
55,password_spraying,multiple,system,5,password_spraying,open,2026-08-04 22:55:18.468491,critical
56,password_spraying,multiple,system,6,password_spraying,open,2026-08-04 22:55:20.632125,critical
57,password_spraying,multiple,system,6,password_spraying,open,2026-08-04 22:55:21.612326,critical
58,password_spraying,multiple,system,7,password_spraying,open,2026-08-04 22:55:25.054641,critical
59,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 22:55:35.383443,critical
60,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 22:55:39.244635,critical
61,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 22:55:40.40025,critical
62,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 22:55:43.751793,critical
63,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 22:55:53.715926,critical
64,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 22:55:54.749301,critical
65,password_spraying,multiple,system,10,password_spraying,open,2026-08-04 22:56:05.279546,critical
66,password_spraying,multiple,system,10,password_spraying,open,2026-08-04 22:56:07.983128,critical
67,password_spraying,multiple,deploy,5,password_spraying,open,2026-08-04 22:56:11.237698,critical
68,password_spraying,multiple,system,11,password_spraying,open,2026-08-04 22:56:14.870734,critical
69,password_spraying,multiple,system,12,password_spraying,open,2026-08-04 22:56:27.413245,critical
70,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:56:29.445311,critical
71,password_spraying,multiple,system,13,password_spraying,open,2026-08-04 22:56:30.798347,critical
72,password_spraying,multiple,system,14,password_spraying,open,2026-08-04 22:56:34.678958,critical
73,password_spraying,multiple,system,14,password_spraying,open,2026-08-04 22:56:34.823183,critical
